time,vx,vy,vz,px,py,pz
0,0,0,200,0,0,0
0.01,0,0,199.902,0,0,1.99902
0.02,0,0,199.804,0,0,3.99706
0.03,0,0,199.706,0,0,5.99412
0.04,0,0,199.608,0,0,7.9902
0.05,0,0,199.51,0,0,9.9853
0.06,0,0,199.412,0,0,11.9794
0.07,0,0,199.314,0,0,13.9726
0.08,0,0,199.216,0,0,15.9647
0.09,0,0,199.118,0,0,17.9559
0.1,0,0,199.02,0,0,19.9461
0.11,0,0,198.922,0,0,21.9353
0.12,0,0,198.824,0,0,23.9236
0.13,0,0,198.726,0,0,25.9108
0.14,0,0,198.628,0,0,27.8971
0.15,0,0,198.53,0,0,29.8824
0.16,0,0,198.432,0,0,31.8667
0.17,0,0,198.334,0,0,33.8501
0.18,0,0,198.236,0,0,35.8324
0.19,0,0,198.138,0,0,37.8138
0.2,0,0,198.04,0,0,39.7942
0.21,0,0,197.942,0,0,41.7736
0.22,0,0,197.844,0,0,43.7521
0.23,0,0,197.746,0,0,45.7295
0.24,0,0,197.648,0,0,47.706
0.25,0,0,197.55,0,0,49.6815
0.26,0,0,197.452,0,0,51.656
0.27,0,0,197.354,0,0,53.6296
0.28,0,0,197.256,0,0,55.6021
0.29,0,0,197.158,0,0,57.5737
0.3,0,0,197.06,0,0,59.5443
0.31,0,0,196.962,0,0,61.5139
0.32,0,0,196.864,0,0,63.4826
0.33,0,0,196.766,0,0,65.4502
0.34,0,0,196.668,0,0,67.4169
0.35,0,0,196.57,0,0,69.3826
0.36,0,0,196.472,0,0,71.3473
0.37,0,0,196.374,0,0,73.3111
0.38,0,0,196.276,0,0,75.2738
0.39,0,0,196.178,0,0,77.2356
0.4,0,0,196.08,0,0,79.1964
0.41,0,0,195.982,0,0,81.1562
0.42,0,0,195.884,0,0,83.1151
0.43,0,0,195.786,0,0,85.0729
0.44,0,0,195.688,0,0,87.0298
0.45,0,0,195.59,0,0,88.9857
0.46,0,0,195.492,0,0,90.9406
0.47,0,0,195.394,0,0,92.8946
0.48,0,0,195.296,0,0,94.8475
0.49,0,0,195.198,0,0,96.7995
0.5,0,0,195.1,0,0,98.7505
0.51,0,0,195.002,0,0,100.701
0.52,0,0,194.904,0,0,102.65
0.53,0,0,194.806,0,0,104.598
0.54,0,0,194.708,0,0,106.545
0.55,0,0,194.61,0,0,108.491
0.56,0,0,194.512,0,0,110.436
