x,y
0,0.75
-0.014884,0.749513
-0.029534,0.748046
-0.0439452,0.745593
-0.0581132,0.742152
-0.0720344,0.737719
-0.0857057,0.732295
-0.0991245,0.72588
-0.112288,0.718478
-0.125196,0.710094
-0.137845,0.700734
-0.150235,0.690407
-0.162365,0.679124
-0.174235,0.666896
-0.185844,0.653738
-0.197193,0.639664
-0.20828,0.624693
-0.219106,0.608844
-0.229672,0.592136
-0.239977,0.574593
-0.250021,0.556237
-0.259806,0.537096
-0.269329,0.517194
-0.278592,0.496562
-0.287593,0.475227
-0.296333,0.453222
-0.30481,0.430578
-0.313024,0.407329
-0.320972,0.383508
-0.328654,0.359153
-0.336068,0.334299
-0.34321,0.308983
-0.350079,0.283244
-0.356671,0.25712
-0.362983,0.230651
-0.36901,0.203878
-0.37475,0.17684
-0.380196,0.149579
-0.385345,0.122136
-0.39019,0.0945527
-0.394726,0.0668702
-0.398946,0.0391304
-0.402844,0.0113751
-0.406413,-0.0163544
-0.409646,-0.0440166
-0.412534,-0.0715707
-0.415071,-0.098976
-0.417247,-0.126192
-0.419055,-0.15318
-0.420486,-0.179901
-0.421531,-0.206315
-0.42218,-0.232387
-0.422426,-0.258078
-0.422258,-0.283354
-0.421667,-0.30818
-0.420645,-0.332521
-0.419182,-0.356346
-0.417269,-0.379624
-0.414897,-0.402323
-0.412057,-0.424416
-0.408741,-0.445874
-0.404941,-0.466671
-0.400649,-0.486784
-0.395857,-0.506188
-0.390558,-0.524862
-0.384746,-0.542785
-0.378414,-0.55994
-0.371558,-0.576308
-0.364171,-0.591875
-0.356251,-0.606626
-0.347793,-0.620548
-0.338796,-0.633633
-0.329256,-0.645869
-0.319173,-0.65725
-0.308547,-0.66777
-0.297378,-0.677425
-0.285669,-0.686211
-0.273422,-0.694128
-0.260641,-0.701177
-0.247331,-0.707358
-0.233497,-0.712676
-0.219146,-0.717135
-0.204288,-0.720741
-0.188931,-0.723502
-0.173085,-0.725428
-0.156762,-0.726528
-0.139976,-0.726813
-0.12274,-0.726297
-0.105069,-0.724993
-0.0869797,-0.722915
-0.0684898,-0.720081
-0.049618,-0.716507
-0.0303842,-0.71221
-0.0108094,-0.707209
0.00908421,-0.701523
0.0292733,-0.695173
0.0497336,-0.68818
0.0704396,-0.680564
0.0913651,-0.672347
0.112483,-0.663552
0.133764,-0.654202
0.15518,-0.644319
0.1767,-0.633927
0.198295,-0.623049
0.219932,-0.611709
0.241579,-0.599931
0.263203,-0.587738
0.284772,-0.575155
0.306251,-0.562204
0.327606,-0.548909
0.348802,-0.535293
0.369806,-0.52138
0.390581,-0.507192
0.411092,-0.492751
0.431305,-0.478079
0.451183,-0.463198
0.470693,-0.448129
0.489799,-0.432892
0.508466,-0.417506
0.52666,-0.401993
0.544347,-0.386369
0.561494,-0.370654
0.578068,-0.354864
0.594036,-0.339016
0.609368,-0.323128
0.624032,-0.307213
0.637999,-0.291286
0.65124,-0.275363
0.663727,-0.259455
0.675433,-0.243575
0.686333,-0.227736
0.696403,-0.211948
0.70562,-0.196221
0.713961,-0.180566
0.721407,-0.164992
0.727939,-0.149506
0.733539,-0.134117
0.738192,-0.118832
0.741884,-0.103658
0.744601,-0.0885993
0.746335,-0.0736629
0.747075,-0.0588534
0.746813,-0.0441754
0.745546,-0.0296328
0.743268,-0.0152294
0.739977,-0.000968439
0.735675,0.013147
0.730362,0.0271144
0.724041,0.0409311
0.716719,0.054595
0.708403,0.068104
0.6991,0.0814561
0.688824,0.0946496
0.677585,0.107683
0.665398,0.120553
0.652279,0.13326
0.638247,0.145801
0.62332,0.158174
0.60752,0.170377
0.59087,0.182407
0.573393,0.194263
0.555116,0.205941
0.536065,0.217439
0.516269,0.228754
0.495758,0.23988
0.474563,0.250816
